Id,INTPTLAT10,INTPTLON10
48113018140,32.9167077,-96.5640095
48113018134,32.9021915,-96.5268521
48113018139,32.9268346,-96.5799406
48113018138,32.8508971,-96.582081
48113018137,32.8608722,-96.5533804
48113018133,32.8976698,-96.5661319
48113018136,32.8803376,-96.5665035
48113007801,32.8731554,-96.7776351
48113007906,32.8603075,-96.775708
48113009401,32.8718773,-96.8520177
48113009402,32.8712053,-96.8431695
48113009500,32.8877124,-96.8473457
48113009603,32.9174232,-96.8278434
48113009604,32.9195766,-96.8092909
48113009605,32.912242,-96.8674936
48113009607,32.9026083,-96.8640984
48113016301,32.7166258,-96.9790594
48113016302,32.7154768,-96.9900356
48113016401,32.6941902,-97.024465
48113016406,32.7033912,-97.0098443
48113016407,32.7040966,-96.9957817
48113016408,32.6953623,-96.991752
48113016409,32.6813268,-96.9872695
48113016410,32.6665419,-97.0264386
48113016411,32.6138458,-97.0253352
48113018111,32.8677534,-96.6183123
48113018121,32.9185035,-96.6030845
48113018203,32.9022201,-96.6062911
48113018105,32.9196604,-96.6209333
48113019205,32.9738902,-96.7601189
48113019019,32.9129002,-96.7121232
48113017301,32.712757,-96.5914649
48113017202,32.7223066,-96.6122343
48113017101,32.6957713,-96.6036327
48113017004,32.6857852,-96.5800978
48113017001,32.6205274,-96.5864355
48113008603,32.7358338,-96.7726105
48113018141,32.8643827,-96.5397248
48113018142,32.8387857,-96.5453644
48113007913,32.8483159,-96.7671237
48113016623,32.5626352,-96.8791489
48113016621,32.56843,-96.8418953
48113016626,32.5841296,-96.9420644
48113016625,32.6027505,-96.9163638
48113009608,32.9159703,-96.8462663
48113009609,32.902384,-96.847291
48113009610,32.9027823,-96.885631
48113009611,32.9021569,-96.8765214
48113009701,32.8879437,-96.8771563
48113009702,32.8885622,-96.8626297
48113009802,32.8717281,-96.8601617
48113009803,32.87597,-96.8751948
48113009804,32.8701843,-96.8716044
48113009900,32.8785296,-96.9088795
48113010000,32.8114382,-96.8619615
48113010101,32.7878258,-96.8488369
48113016502,32.66912,-96.9085695
48113016509,32.6313277,-96.9179937
48113016510,32.644458,-96.967176
48113016511,32.6256814,-96.9474922
48113016513,32.6352862,-96.9335437
48113016514,32.6174256,-96.948296
48113016516,32.6543642,-96.8999549
48113016517,32.6397939,-96.9002882
48113019018,32.9252684,-96.7113834
48113019036,32.982053,-96.6947013
48113019035,32.9126079,-96.7259061
48113019016,32.9193536,-96.7418763
48113018503,32.9063613,-96.7226349
48113018118,32.8621285,-96.5853903
48113018128,32.8543362,-96.606016
